userId,movieId,rating
1,28,4.7
2,67,1.6
3,47,1.0
4,45,2.6
5,51,4.2
6,44,4.8
7,24,1.7
8,58,1.1
9,8,3.1
10,6,1.6
11,56,1.1
12,42,2.1
13,12,2.5
14,53,3.2
15,23,3.9
16,17,2.8
17,14,2.6
18,31,4.3
19,14,1.5
20,16,3.9
21,16,4.9
22,41,4.2
23,54,4.8
24,35,3.2
25,11,1.0
26,64,3.2
27,55,3.8
28,7,1.7
29,64,2.2
30,27,1.6
31,10,4.2
32,45,1.1
33,50,4.0
34,6,2.1
35,60,4.4
36,25,4.7
37,13,1.3
38,18,1.4
39,64,1.6
40,63,4.4
41,57,3.0
42,64,2.8
43,10,3.8
44,43,4.2
45,20,3.3
46,56,1.6
47,51,1.6
48,42,4.7
49,67,2.0
50,66,2.0
51,5,1.4
52,50,4.6
53,38,3.6
54,11,2.8
55,14,1.4
56,43,3.9
57,61,4.8
58,13,4.9
59,17,3.8
60,25,1.8
61,3,1.1
62,56,2.0
63,48,4.3
64,49,1.9
65,65,2.8
66,25,1.5
67,52,3.1
68,13,3.9
69,45,4.1
70,36,2.8
71,62,5.0
72,9,1.4
73,46,4.5
74,9,1.5
75,5,1.4
76,14,2.2
77,65,2.4
78,21,1.5
79,1,4.1
80,16,2.5
81,55,2.4
82,53,2.5
83,10,4.7
84,54,4.0
85,22,2.5
86,52,3.5
87,22,3.1
88,57,2.1
89,2,3.0
90,60,2.0
91,30,3.5
92,40,4.9
93,7,1.8
94,39,4.8
95,5,3.6
96,60,3.3
97,48,1.6
98,32,4.9
99,32,1.9
100,16,3.9
101,50,4.5
102,12,4.9
103,37,4.1
104,46,4.2
105,13,4.7
106,64,3.4
107,63,2.4
108,51,4.3
109,21,1.5
110,57,1.8
111,8,1.1
112,60,2.3
113,44,3.9
114,62,4.3
115,44,3.1
116,54,3.0
117,54,2.6
118,59,3.9
119,56,3.2
120,16,1.5
121,65,4.7
122,56,1.6
123,11,4.6
124,65,2.2
125,20,4.6
126,43,4.9
127,33,2.8
128,57,3.8
129,18,2.8
130,55,3.0
131,17,1.1
132,55,3.6
133,43,1.1
134,23,3.0
135,62,3.8
136,54,2.0
137,19,3.8
138,7,3.7
139,17,3.8
140,57,4.0
141,32,3.3
142,45,3.1
143,3,4.5
144,18,1.7
145,32,5.0
146,47,3.9
147,36,1.1
148,14,1.9
149,66,3.1
150,32,4.3
151,51,1.1
152,47,4.7
153,19,2.1
154,49,3.4
155,33,3.1
156,43,3.7
157,53,3.8
158,33,5.0
159,63,4.4
160,51,4.1
161,28,2.0
162,60,3.5
163,19,1.6
164,13,2.0
165,62,2.1
166,25,3.3
167,46,3.3
168,42,3.4
169,18,3.5
170,57,2.1
171,52,4.1
172,19,2.1
173,3,2.9
174,31,1.2
